iter	Passed	Remaining
0	105	105074
1	201	100441
2	299	99635
3	315	78532
4	406	80955
5	494	81908
6	611	86680
7	656	81444
8	739	81385
9	827	81925
10	873	78551
11	1031	84917
12	1123	85325
13	1224	86247
14	1328	87228
15	1436	88358
16	1524	88163
17	1562	85232
18	1662	85814
19	1749	85716
20	1831	85366
21	1930	85807
22	2028	86159
23	2110	85831
24	2185	85233
25	2268	84976
26	2346	84554
27	2440	84726
28	2530	84713
29	2609	84389
30	2697	84317
31	2786	84276
32	2870	84122
33	2949	83802
34	3029	83522
35	3111	83309
36	3205	83418
37	3298	83510
38	3392	83594
39	3492	83828
40	3582	83790
41	3670	83730
42	3749	83456
43	3840	83441
44	3919	83175
45	4009	83158
46	4095	83049
47	4172	82749
48	4262	82730
49	4356	82771
50	4446	82741
51	4533	82657
52	4630	82739
53	4725	82781
54	4819	82802
55	4920	82951
56	5008	82858
57	5099	82830
58	5186	82712
59	5286	82822
60	5374	82734
61	5461	82627
62	5544	82467
63	5641	82502
64	5734	82493
65	5827	82467
66	5918	82423
67	6018	82487
68	6111	82462
69	6204	82430
70	6300	82435
71	6391	82382
72	6480	82294
73	6566	82175
74	6671	82276
75	6771	82329
76	6869	82350
77	6966	82345
78	7060	82308
79	7147	82194
80	7244	82196
81	7336	82138
82	7412	81894
83	7498	81772
84	7583	81629
85	7679	81614
86	7763	81476
87	7847	81330
88	7940	81273
89	8034	81240
90	8126	81179
91	8219	81124
92	8322	81164
93	8411	81076
94	8504	81014
95	8591	80902
96	8676	80768
97	8767	80693
98	8847	80523
99	8936	80427
100	9020	80292
101	9116	80258
102	9194	80071
103	9274	79907
104	9366	79835
105	9463	79812
106	9554	79736
107	9646	79671
108	9725	79502
109	9817	79433
110	9897	79265
111	9987	79184
112	10084	79158
113	10174	79072
114	10251	78892
115	10343	78828
116	10431	78729
117	10532	78728
118	10623	78647
119	10712	78560
120	10805	78495
121	10891	78383
122	10982	78305
123	11070	78207
124	11159	78117
125	11249	78030
126	11356	78063
127	11446	77981
128	11538	77909
129	11626	77804
130	11715	77713
131	11806	77636
132	11909	77638
133	12002	77567
134	12084	77433
135	12181	77387
136	12272	77309
137	12376	77307
138	12469	77239
139	12552	77105
140	12649	77063
141	12740	76983
142	12825	76864
143	12918	76792
144	13007	76702
145	13104	76650
146	13199	76592
147	13287	76494
148	13391	76484
149	13484	76413
150	13580	76356
151	13675	76294
152	13779	76283
153	13858	76132
154	13939	75994
155	14025	75883
156	14114	75787
157	14198	75664
158	14307	75674
