iter	MAE_SumError	MAE_SumWeight
0	13590709.48	42620
1	12599304.57	42620
2	11732993.83	42620
3	10935133.4	42620
4	10249850.94	42620
5	9645802.599	42620
6	9062910.893	42620
7	8597553.194	42620
8	8143656.645	42620
9	7750218.936	42620
10	7416328.004	42620
11	7104612.101	42620
12	6814603.387	42620
13	6575044.452	42620
14	6349655.675	42620
15	6145331.901	42620
16	5985307.745	42620
17	5875006.024	42620
18	5748298.88	42620
19	5646636.761	42620
20	5546039.002	42620
21	5460705.166	42620
22	5380775.581	42620
23	5304369.487	42620
24	5235076.868	42620
25	5170649.77	42620
26	5135433.508	42620
27	5084804.457	42620
28	5033975.41	42620
29	4996213.863	42620
30	4951978.017	42620
31	4921714.564	42620
32	4889859.669	42620
33	4859631.075	42620
34	4821315.061	42620
35	4794816.042	42620
36	4763899.03	42620
37	4734116.606	42620
38	4714389.724	42620
39	4692219.703	42620
40	4668315.229	42620
41	4650423.49	42620
42	4627614.971	42620
43	4611038.396	42620
44	4596338.145	42620
45	4581864.825	42620
46	4561939.875	42620
47	4549403.967	42620
48	4536746.246	42620
49	4527542.28	42620
50	4516610.926	42620
51	4504364.836	42620
52	4496948.716	42620
53	4488969.761	42620
54	4480378.608	42620
55	4471379.406	42620
56	4463255.121	42620
57	4454549.577	42620
58	4447741.022	42620
59	4442286.36	42620
60	4427830.242	42620
61	4420975.446	42620
62	4408819.753	42620
63	4399710.756	42620
64	4392334.785	42620
65	4384297.165	42620
66	4376564.611	42620
67	4371521.085	42620
68	4364040.592	42620
69	4355925.147	42620
70	4353190.907	42620
71	4347510.226	42620
72	4343588.753	42620
73	4337675.64	42620
74	4331815.355	42620
75	4327333.899	42620
76	4324950.021	42620
77	4319250.243	42620
78	4315868.073	42620
79	4305847.057	42620
80	4301403.079	42620
81	4295629.434	42620
82	4287018.667	42620
83	4282231.334	42620
84	4279777.966	42620
85	4274435.079	42620
86	4270045.424	42620
87	4267261.866	42620
88	4264386.296	42620
89	4261453.297	42620
90	4258545.408	42620
91	4252801.313	42620
92	4252806.468	42620
93	4249515.547	42620
94	4247791.91	42620
95	4246168.602	42620
96	4240671.693	42620
97	4238549.311	42620
98	4235953.286	42620
99	4231952.109	42620
100	4230054.364	42620
101	4222906.77	42620
102	4220738.165	42620
103	4218967.228	42620
104	4216156.418	42620
105	4212738.735	42620
106	4209687.052	42620
107	4204857.248	42620
108	4203649.921	42620
109	4201388.318	42620
110	4199620.848	42620
111	4193513.807	42620
112	4189623.962	42620
113	4183072.898	42620
114	4182318.991	42620
115	4177186.516	42620
116	4175454.46	42620
117	4170471.103	42620
118	4164693.374	42620
119	4161066.552	42620
120	4158407.155	42620
121	4155179.787	42620
122	4153194.416	42620
123	4150254.315	42620
124	4146970.89	42620
125	4144346.473	42620
126	4139023.473	42620
127	4134147.583	42620
128	4126215.613	42620
129	4122610.471	42620
130	4120145.381	42620
131	4118458.64	42620
132	4116140.238	42620
133	4114635.804	42620
134	4110005.729	42620
135	4107844.265	42620
136	4106512.869	42620
137	4105455.999	42620
138	4100336.229	42620
139	4098135.173	42620
140	4096915.367	42620
141	4094784.617	42620
142	4090403.805	42620
143	4088467.438	42620
144	4087052.923	42620
145	4084948.267	42620
146	4082481.253	42620
147	4079900.354	42620
148	4078843.313	42620
149	4077586.003	42620
150	4075234.196	42620
151	4073483.656	42620
152	4071903.284	42620
153	4070531.692	42620
154	4066690.727	42620
155	4064991.059	42620
156	4063095.952	42620
157	4062455.638	42620
158	4058170.603	42620
159	4056676.827	42620
160	4055801.692	42620
161	4054425.763	42620
162	4053422.364	42620
163	4050590.202	42620
164	4045493.2	42620
165	4043939.398	42620
166	4042764.123	42620
167	4041549.325	42620
168	4040146.863	42620
169	4039460.227	42620
170	4036718.68	42620
171	4033608.729	42620
172	4032508.276	42620
173	4030679.148	42620
174	4028966.422	42620
175	4028253.851	42620
176	4026969.779	42620
177	4023848.988	42620
178	4021102.016	42620
179	4018773.66	42620
180	4015633.884	42620
181	4014302.635	42620
182	4013592.851	42620
183	4011018.915	42620
184	4008698.04	42620
185	4006941.823	42620
186	4006185.152	42620
187	4005010.442	42620
188	4003545.323	42620
189	4002524.465	42620
190	4001487.314	42620
191	3999423.553	42620
192	3997420.708	42620
193	3996153.767	42620
194	3995687.897	42620
195	3994636.782	42620
196	3991448.657	42620
197	3990506.828	42620
198	3989364.198	42620
199	3988687.617	42620
200	3987928.148	42620
201	3987208.175	42620
202	3986138.683	42620
203	3985722.623	42620
204	3985059.248	42620
205	3983239.083	42620
206	3982228.134	42620
207	3981194.554	42620
208	3980027.662	42620
209	3978900.361	42620
210	3977947.395	42620
211	3975835.915	42620
212	3974175.274	42620
213	3972308.002	42620
214	3971699.202	42620
215	3971294.158	42620
216	3970214.093	42620
217	3969029.748	42620
218	3967790.89	42620
219	3967174.258	42620
220	3964829.001	42620
221	3964092.323	42620
222	3963277.759	42620
223	3962340.152	42620
224	3961287.732	42620
225	3960023.656	42620
226	3959631.111	42620
227	3958405.761	42620
228	3957994.934	42620
229	3955845.453	42620
230	3954993.24	42620
231	3953318.102	42620
232	3952004.592	42620
233	3951246.091	42620
234	3950124.465	42620
235	3948821.054	42620
236	3947095.67	42620
237	3946410.175	42620
238	3945850.094	42620
239	3944637.599	42620
240	3940636.16	42620
241	3939063.983	42620
242	3937962.095	42620
243	3937042.937	42620
244	3935917.779	42620
245	3935258.967	42620
246	3934750.798	42620
247	3932976.695	42620
248	3932418.832	42620
249	3930310.833	42620
250	3929368.632	42620
251	3928677.447	42620
252	3928044.457	42620
253	3926642.51	42620
254	3925222.547	42620
255	3924344.097	42620
256	3923305.09	42620
257	3922566.633	42620
258	3921864.772	42620
259	3921542.061	42620
260	3921006.652	42620
261	3919912.838	42620
262	3918909.617	42620
263	3918100.219	42620
264	3917682.514	42620
265	3917271.431	42620
266	3916770.322	42620
267	3916452.181	42620
268	3915698.885	42620
269	3915452.815	42620
270	3914960.99	42620
271	3914329.07	42620
272	3914015.506	42620
273	3913320.755	42620
274	3913098.115	42620
275	3911898.717	42620
276	3911178.105	42620
277	3910154.76	42620
278	3909482.406	42620
279	3908159.764	42620
280	3907678.772	42620
281	3907180.61	42620
282	3906307.742	42620
283	3905661.548	42620
284	3904898.41	42620
285	3903712.959	42620
286	3904132.515	42620
287	3903300.166	42620
288	3902458.675	42620
289	3899762.516	42620
290	3899017.439	42620
291	3898411.976	42620
292	3896102.214	42620
293	3895774.142	42620
294	3894589.854	42620
295	3893223.487	42620
296	3892853.6	42620
297	3892255.195	42620
298	3891713.545	42620
299	3891284.149	42620
300	3890035.622	42620
301	3889355.696	42620
302	3888784.154	42620
303	3888289.739	42620
304	3887827.9	42620
305	3887295.768	42620
306	3886396.29	42620
307	3885523.927	42620
308	3885246.212	42620
309	3884998.203	42620
310	3883619.991	42620
311	3882457.323	42620
312	3880552.162	42620
313	3879662.484	42620
314	3879285.757	42620
315	3879505.997	42620
316	3879118.556	42620
317	3878640.223	42620
318	3878314.882	42620
319	3877984.461	42620
320	3876992.764	42620
321	3876536.843	42620
322	3876154.679	42620
323	3875495.064	42620
324	3874607.81	42620
325	3874230.06	42620
326	3873602.858	42620
327	3873310.647	42620
328	3872832.664	42620
329	3872570.295	42620
330	3871666.594	42620
331	3871046.086	42620
332	3869828.099	42620
333	3869478.89	42620
334	3869167.897	42620
335	3868734.821	42620
336	3867854.998	42620
337	3867592.894	42620
338	3867106.499	42620
339	3866726.803	42620
340	3866225.223	42620
341	3865769.325	42620
342	3865824.271	42620
343	3864911.033	42620
344	3864671.027	42620
345	3863666.209	42620
346	3862870.205	42620
347	3861972.407	42620
348	3861595.609	42620
349	3861379.555	42620
350	3860521.183	42620
351	3860419.154	42620
352	3860211.385	42620
353	3859795.659	42620
354	3859414.27	42620
355	3859264.986	42620
356	3859080.045	42620
357	3858720.448	42620
358	3857505.065	42620
359	3857293.133	42620
360	3857070.731	42620
361	3856690.09	42620
362	3856252.831	42620
363	3855973.552	42620
364	3855537.605	42620
365	3853111.062	42620
366	3852078.126	42620
367	3851625.401	42620
368	3851379.105	42620
369	3851163.784	42620
370	3851138.378	42620
371	3850043.588	42620
372	3848792.563	42620
373	3848569.85	42620
374	3848336.815	42620
375	3847799.416	42620
376	3847664.254	42620
377	3847140.358	42620
378	3846809.447	42620
379	3846282.084	42620
380	3845367.319	42620
381	3845120.107	42620
382	3844937.556	42620
383	3844216.977	42620
384	3844158.795	42620
385	3843742.08	42620
386	3843060.583	42620
387	3843015.441	42620
388	3842401.069	42620
389	3842046.475	42620
390	3841628.163	42620
391	3841453.533	42620
392	3841166.663	42620
393	3840964.941	42620
394	3840235.087	42620
395	3840042.761	42620
396	3840128.246	42620
397	3839737.024	42620
398	3839269.045	42620
399	3839184.886	42620
400	3839028.178	42620
401	3839001.58	42620
402	3838774.452	42620
403	3838386.659	42620
404	3838047.382	42620
405	3837913.397	42620
406	3837552.243	42620
407	3837106.167	42620
408	3836261.023	42620
409	3836012.724	42620
410	3835866.349	42620
411	3835619.656	42620
412	3835417.091	42620
413	3835175.06	42620
414	3834985.242	42620
415	3834595.658	42620
416	3834125.078	42620
417	3833716.378	42620
418	3833636.642	42620
419	3831809.281	42620
420	3831016.057	42620
421	3830838.247	42620
422	3830540.895	42620
423	3830177.558	42620
424	3829861.351	42620
425	3829024.323	42620
426	3828882.573	42620
427	3828796.023	42620
428	3828033.147	42620
429	3827491.474	42620
430	3826656.24	42620
431	3826620.042	42620
432	3826057.736	42620
433	3825964.349	42620
434	3825287.422	42620
435	3825339.419	42620
436	3825100.459	42620
437	3824104.089	42620
438	3823435.305	42620
439	3823211.226	42620
440	3822895.012	42620
441	3821660.57	42620
442	3821504.809	42620
443	3821266.58	42620
444	3820983.72	42620
445	3820704.562	42620
446	3820298.719	42620
447	3820003.909	42620
448	3819895.273	42620
449	3819626.145	42620
450	3819498.572	42620
451	3819047.092	42620
452	3818741.654	42620
453	3818638.938	42620
454	3818434.147	42620
455	3818323.744	42620
456	3817903.218	42620
457	3817771.209	42620
458	3817231.144	42620
459	3817085.161	42620
460	3816500.151	42620
461	3816116.184	42620
462	3815974.453	42620
463	3815794.669	42620
464	3815520.812	42620
465	3815216.306	42620
466	3815164.353	42620
467	3815015.667	42620
468	3814676.075	42620
469	3814558.53	42620
470	3814266.466	42620
471	3814109.243	42620
472	3813989.825	42620
473	3813173.071	42620
474	3812752.085	42620
475	3812552.814	42620
476	3812217.718	42620
477	3811978.805	42620
478	3811879.956	42620
479	3811293.109	42620
480	3809995.121	42620
481	3810009.592	42620
482	3809890.619	42620
483	3809467.586	42620
484	3809307.759	42620
485	3809030.884	42620
486	3808903.045	42620
487	3808799.608	42620
488	3808076.734	42620
489	3807930.597	42620
490	3807782.823	42620
491	3807768.129	42620
492	3807495.894	42620
493	3807450.465	42620
494	3806851.046	42620
495	3806641.494	42620
496	3806436.555	42620
497	3805926.517	42620
498	3805598.422	42620
499	3805522.758	42620
500	3805358.875	42620
501	3805117.594	42620
502	3804937.219	42620
503	3804705.389	42620
504	3804381.393	42620
505	3804133.013	42620
506	3804147.774	42620
507	3803981.762	42620
508	3803384.69	42620
509	3803197.731	42620
510	3802649.105	42620
511	3802575.463	42620
512	3802385.438	42620
513	3802288.947	42620
514	3802083.564	42620
515	3802033.172	42620
516	3801970.738	42620
517	3801768.128	42620
518	3801619.111	42620
519	3801462.443	42620
520	3801334.301	42620
521	3801281.889	42620
522	3800905.661	42620
523	3800489.953	42620
524	3800229.647	42620
525	3800044.583	42620
526	3799673.63	42620
527	3799667.772	42620
528	3799579.136	42620
529	3799428.097	42620
530	3799140.39	42620
531	3798783.503	42620
532	3798421.493	42620
533	3797564.511	42620
534	3797480.083	42620
535	3797398.813	42620
536	3797330.884	42620
537	3796948.023	42620
538	3796352.56	42620
539	3796179.752	42620
540	3796011.364	42620
541	3795851.9	42620
542	3795840.244	42620
543	3795705.54	42620
544	3795598.832	42620
545	3795466.603	42620
546	3795391.185	42620
547	3795398.174	42620
548	3795136.364	42620
549	3794956.464	42620
550	3794842.298	42620
551	3794646.137	42620
552	3794449.043	42620
553	3794382.547	42620
554	3794013	42620
555	3794011.118	42620
556	3793592.887	42620
557	3793415.418	42620
558	3793350.34	42620
559	3793283.644	42620
560	3793065.914	42620
561	3792405.784	42620
562	3792281.141	42620
563	3792038.803	42620
564	3791936.034	42620
565	3791700.343	42620
566	3791134.97	42620
567	3791064.086	42620
568	3791010.998	42620
569	3790431.867	42620
570	3789953.221	42620
571	3789915.854	42620
572	3789972.546	42620
573	3789645.834	42620
574	3789430.547	42620
575	3789449.598	42620
576	3789238.033	42620
577	3789164.656	42620
578	3789077.16	42620
579	3788880.668	42620
580	3788846.284	42620
581	3788769.057	42620
582	3788579.853	42620
583	3788321.634	42620
584	3788247.26	42620
585	3788027.2	42620
586	3787955.892	42620
587	3787791.492	42620
588	3787797.897	42620
589	3787539.365	42620
590	3787526.736	42620
591	3787453.413	42620
592	3787137.868	42620
593	3787059.407	42620
594	3786489.594	42620
595	3786512.106	42620
596	3786361.438	42620
597	3786306.093	42620
598	3786375.109	42620
599	3786336.395	42620
600	3786162.643	42620
601	3785973.67	42620
602	3785922.418	42620
603	3785723.513	42620
604	3785852.242	42620
605	3785563.213	42620
606	3785206.858	42620
607	3784816.581	42620
608	3784741.608	42620
609	3784546.912	42620
610	3784319.931	42620
611	3784233.832	42620
612	3784181.605	42620
613	3783978.102	42620
614	3783896.386	42620
615	3783855.253	42620
616	3783818.572	42620
617	3783452.273	42620
618	3783419.276	42620
619	3783349.188	42620
620	3783221.46	42620
621	3782621.353	42620
622	3782406.358	42620
623	3782250.322	42620
624	3782258.42	42620
625	3782276.436	42620
626	3782065.98	42620
627	3782031.011	42620
628	3781880.31	42620
629	3781897.215	42620
630	3781780.766	42620
631	3781715.416	42620
632	3781546.774	42620
633	3781543.598	42620
634	3781490.079	42620
635	3781282.732	42620
636	3781143.976	42620
637	3780866.185	42620
638	3780735.905	42620
639	3780675.863	42620
640	3780510.774	42620
641	3779846.368	42620
642	3779746.558	42620
643	3779713.751	42620
644	3779570.613	42620
645	3779526.227	42620
646	3778900.655	42620
647	3778542.744	42620
648	3778212.641	42620
649	3778166.296	42620
650	3778161.598	42620
651	3777938.544	42620
652	3777822.442	42620
653	3777366.237	42620
654	3777321.374	42620
655	3776978.04	42620
656	3776824.125	42620
657	3776764.827	42620
658	3776195.387	42620
659	3776076.903	42620
660	3775916.282	42620
661	3775703.877	42620
662	3775489.917	42620
663	3775353.627	42620
664	3775309.408	42620
665	3775328.638	42620
666	3775298.128	42620
667	3775113.221	42620
668	3774879.362	42620
669	3774535.236	42620
670	3774268.814	42620
671	3774189.062	42620
672	3774016.894	42620
673	3773852.219	42620
674	3773784.055	42620
675	3773646.813	42620
676	3773253.797	42620
677	3773218.579	42620
678	3773010.12	42620
679	3772924.813	42620
680	3772914.62	42620
681	3772746.758	42620
682	3772609.136	42620
683	3772360.096	42620
684	3772226.359	42620
685	3772178.669	42620
686	3772113.554	42620
687	3772008.567	42620
688	3771976.768	42620
689	3771966.358	42620
690	3771801.734	42620
691	3771520.304	42620
692	3771545.313	42620
693	3771438.758	42620
694	3771462.14	42620
695	3771402.601	42620
696	3771406.727	42620
697	3771392.024	42620
698	3771371.859	42620
699	3771296.865	42620
700	3771193.135	42620
701	3771032.105	42620
702	3770961.647	42620
703	3769847.151	42620
704	3769461.242	42620
705	3769357.184	42620
706	3769309.431	42620
707	3769268.343	42620
708	3769133.02	42620
709	3768974.334	42620
710	3768760.677	42620
711	3768507.613	42620
712	3768312.138	42620
713	3768208.992	42620
714	3768044.083	42620
715	3767911.043	42620
716	3767804.867	42620
717	3767607.245	42620
718	3767185.19	42620
719	3766997.948	42620
720	3766899.496	42620
721	3766835.307	42620
722	3766739.113	42620
723	3766454.951	42620
724	3766517.843	42620
725	3766376.466	42620
726	3766259.998	42620
727	3766151.998	42620
728	3766126.606	42620
729	3766179.042	42620
730	3766099.323	42620
731	3765965.852	42620
732	3765940.057	42620
733	3765817.407	42620
734	3765737.077	42620
735	3765519.308	42620
736	3765527.493	42620
737	3765511.926	42620
738	3765422.605	42620
739	3765332.327	42620
740	3765231.981	42620
741	3765073.373	42620
742	3765068.687	42620
743	3764994.979	42620
744	3764884.02	42620
745	3764729.308	42620
746	3764678.504	42620
747	3763988.959	42620
748	3763890.47	42620
749	3763828.146	42620
750	3763445.483	42620
751	3763369.592	42620
752	3763367.438	42620
753	3763195.63	42620
754	3763151.655	42620
755	3763038.469	42620
756	3762997.855	42620
757	3763005.098	42620
758	3762465.339	42620
759	3761968.99	42620
760	3761956.669	42620
761	3762209.635	42620
762	3762187.475	42620
763	3762140.583	42620
764	3762158.157	42620
765	3762163.701	42620
766	3762078.953	42620
767	3761961.3	42620
768	3761838.072	42620
769	3761522.173	42620
770	3761478.088	42620
771	3761171.485	42620
772	3761136.954	42620
773	3760930.674	42620
774	3760919.591	42620
775	3760943.876	42620
776	3760913.304	42620
777	3760914.446	42620
778	3760911.815	42620
779	3760845.747	42620
780	3760751.072	42620
781	3760763.317	42620
782	3760602.87	42620
783	3760595.964	42620
784	3760504.136	42620
785	3759974.804	42620
786	3759976.538	42620
787	3759717.379	42620
788	3759280.453	42620
789	3759119.997	42620
790	3759053.952	42620
791	3758948.939	42620
792	3758771.167	42620
793	3758730.435	42620
794	3758749.322	42620
795	3758681.684	42620
796	3758506.839	42620
797	3758444.517	42620
798	3758484.058	42620
799	3758406.151	42620
800	3758396.518	42620
801	3758297.295	42620
802	3758121.919	42620
803	3758035.519	42620
804	3758151.207	42620
805	3757820.647	42620
806	3757810.185	42620
807	3757756.038	42620
808	3757642.049	42620
809	3757457.1	42620
810	3757495.643	42620
811	3757454.913	42620
812	3757495.046	42620
813	3757131.517	42620
814	3757253.054	42620
815	3757313.239	42620
816	3757321.001	42620
817	3757295.392	42620
818	3757269.197	42620
819	3757300.498	42620
