iter	Passed	Remaining
0	121	121638
1	217	108304
2	316	105292
3	419	104392
4	527	104960
5	624	103494
6	710	100828
7	796	98722
8	890	98051
9	994	98451
10	1082	97289
11	1169	96304
12	1285	97589
13	1393	98164
14	1567	102916
15	1670	102739
16	1774	102635
17	1918	104648
18	2009	103740
19	2094	102629
20	2201	102610
21	2306	102519
22	2400	101972
23	2509	102037
24	2619	102151
25	2699	101109
26	2789	100511
27	2872	99709
28	2954	98925
29	3020	97669
30	3151	98511
31	3239	98004
32	3368	98715
33	3473	98696
34	3590	98981
35	3727	99815
36	3845	100076
37	3943	99834
38	4076	100440
39	4219	101264
40	4346	101662
41	4467	101891
42	4578	101904
43	4701	102147
44	4802	101919
45	4926	102166
46	5036	102131
47	5139	101923
48	5242	101737
49	5331	101291
50	5424	100939
51	5521	100670
52	5629	100591
53	5714	100117
54	5803	99707
55	5870	98954
56	5949	98435
57	6044	98164
58	6130	97772
59	6218	97423
60	6327	97406
61	6423	97179
62	6515	96898
63	6611	96687
64	6709	96512
65	6796	96182
66	6905	96165
67	7032	96386
68	7161	96621
69	7273	96629
70	7381	96586
71	7489	96535
72	7582	96289
73	7679	96096
74	7783	95998
75	7902	96075
76	8010	96027
77	8097	95717
78	8212	95745
79	8305	95517
80	8398	95292
81	8495	95106
82	8593	94944
83	8686	94725
84	8783	94552
85	8896	94547
86	9023	94692
87	9148	94816
88	9255	94738
89	9355	94591
90	9447	94375
91	9565	94406
92	9707	94676
93	9838	94824
94	9942	94712
95	10085	94968
96	10225	95190
97	10324	95028
98	10421	94847
99	10533	94800
100	10623	94563
101	10732	94485
102	10845	94448
103	10963	94455
104	11086	94497
105	11197	94442
106	11316	94443
107	11447	94545
108	11538	94320
109	11640	94185
110	11744	94060
111	11862	94051
112	11970	93965
113	12084	93921
114	12193	93840
115	12291	93668
116	12421	93743
117	12567	93938
118	12684	93904
119	12816	93990
120	12929	93927
121	13061	94002
122	13167	93882
123	13288	93876
124	13408	93857
125	13534	93879
126	13660	93899
127	13775	93844
128	13897	93833
129	14009	93756
130	14130	93735
131	14239	93637
132	14350	93548
133	14469	93512
134	14573	93376
135	14672	93210
136	14761	92988
137	14905	93106
138	15030	93105
139	15150	93068
140	15281	93097
141	15423	93190
142	15541	93138
143	15647	93013
144	15767	92971
145	15899	93002
146	16040	93076
147	16151	92979
148	16253	92827
149	16375	92795
150	16515	92856
151	16612	92678
152	16749	92723
153	16846	92546
154	16978	92559
155	17120	92626
156	17236	92549
157	17361	92519
158	17471	92411
159	17577	92280
160	17704	92261
161	17807	92116
162	17932	92081
163	18036	91942
164	18148	91844
165	18259	91738
166	18386	91711
167	18534	91787
168	18640	91658
169	18752	91555
170	18872	91492
171	18971	91328
172	19096	91290
173	19202	91157
174	19298	90977
175	19398	90818
176	19496	90651
177	19595	90493
178	19697	90342
179	19795	90177
180	19893	90013
181	20002	89901
182	20104	89755
183	20207	89613
184	20312	89483
185	20421	89373
186	20533	89269
187	20645	89172
188	20753	89053
189	20851	88893
190	20981	88869
191	21128	88915
192	21257	88885
193	21365	88764
194	21495	88739
195	21637	88757
196	21748	88651
197	21867	88572
198	21970	88434
199	22082	88329
200	22198	88241
201	22298	88090
202	22433	88075
203	22551	87995
204	22687	87982
205	22808	87913
206	22935	87862
207	23052	87777
208	23182	87737
209	23312	87698
210	23420	87577
211	23522	87430
212	23643	87357
213	23754	87246
214	23874	87168
215	23996	87100
216	24101	86964
217	24212	86854
218	24333	86778
219	24454	86703
220	24599	86709
221	24721	86635
222	24824	86497
223	24940	86400
224	25067	86342
225	25194	86285
226	25313	86198
227	25416	86058
228	25552	86031
229	25676	85959
230	25819	85952
231	25952	85911
232	26066	85806
233	26182	85708
234	26303	85626
235	26433	85572
236	26548	85471
237	26678	85415
238	26798	85329
239	26923	85257
240	27053	85201
241	27190	85167
242	27299	85042
243	27423	84967
244	27538	84863
245	27640	84718
246	27744	84582
247	27870	84511
248	27965	84346
249	28071	84213
250	28202	84157
251	28313	84042
252	28438	83967
253	28554	83863
254	28668	83756
255	28790	83671
256	28909	83580
257	29042	83526
258	29166	83444
259	29282	83343
260	29389	83214
261	29522	83159
262	29654	83099
263	29786	83040
264	29895	82918
265	30026	82854
266	30159	82797
267	30262	82658
268	30382	82564
269	30498	82460
270	30601	82317
271	30708	82191
272	30845	82141
273	30964	82045
274	31078	81935
275	31191	81820
276	31317	81742
277	31450	81682
278	31556	81549
279	31665	81425
280	31797	81361
281	31927	81291
282	32051	81204
283	32175	81117
284	32287	81002
285	32413	80920
286	32553	80874
287	32651	80722
288	32768	80616
289	32880	80501
290	32984	80364
291	33087	80225
292	33205	80123
293	33323	80022
294	33429	79891
295	33550	79795
296	33663	79682
297	33793	79606
298	33921	79527
299	34037	79421
300	34139	79280
